epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.026,0.76122,0.45455,1,0.78832,0.00025005,8.335e-05,0.00025005,8.335e-05,0.00025005,8.335e-05,0.00025005,8.335e-05
2,27.5446,0.72289,0.5,1,0.7288,0.000544664,0.000181555,0.000544664,0.000181555,0.000544664,0.000181555,0.000544664,0.000181555
3,41.1835,0.70795,0.5,1,0.68464,0.000833337,0.000277779,0.000833337,0.000277779,0.000833337,0.000277779,0.000833337,0.000277779
4,54.6364,0.69004,0.59091,1,0.66375,0.00111607,0.000372023,0.00111607,0.000372023,0.00111607,0.000372023,0.00111607,0.000372023
5,68.7107,0.6556,0.63636,1,0.65146,0.00139286,0.000464286,0.00139286,0.000464286,0.00139286,0.000464286,0.00139286,0.000464286
6,82.5439,0.62243,0.59091,1,0.63441,0.00166371,0.000554569,0.00166371,0.000554569,0.00166371,0.000554569,0.00166371,0.000554569
7,96.5285,0.58431,0.59091,1,0.6126,0.00192862,0.000642872,0.00192862,0.000642872,0.00192862,0.000642872,0.00192862,0.000642872
8,110.068,0.57257,0.63636,1,0.59847,0.00218758,0.000729194,0.00218758,0.000729194,0.00218758,0.000729194,0.00218758,0.000729194
9,123.4,0.54196,0.68182,1,0.57858,0.00244061,0.000813536,0.00244061,0.000813536,0.00244061,0.000813536,0.00244061,0.000813536
10,136.812,0.52623,0.68182,1,0.56562,0.00268769,0.000895897,0.00268769,0.000895897,0.00268769,0.000895897,0.00268769,0.000895897
11,150.065,0.50746,0.68182,1,0.54964,0.00292884,0.000976279,0.00292884,0.000976279,0.00292884,0.000976279,0.00292884,0.000976279
12,164.861,0.4939,0.68182,1,0.54266,0.00316404,0.00105468,0.00316404,0.00105468,0.00316404,0.00105468,0.00316404,0.00105468
13,180.186,0.43467,0.68182,1,0.52586,0.0033933,0.0011311,0.0033933,0.0011311,0.0033933,0.0011311,0.0033933,0.0011311
14,195.956,0.45137,0.68182,1,0.53252,0.00361662,0.00120554,0.00361662,0.00120554,0.00361662,0.00120554,0.00361662,0.00120554
15,211.426,0.42564,0.72727,1,0.54002,0.003834,0.001278,0.003834,0.001278,0.003834,0.001278,0.003834,0.001278
16,227.302,0.41778,0.68182,1,0.59207,0.00404543,0.00134848,0.00404543,0.00134848,0.00404543,0.00134848,0.00404543,0.00134848
17,242.754,0.43527,0.68182,1,0.63358,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,258.017,0.29984,0.72727,1,0.60093,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,271.093,0.36242,0.72727,1,0.61752,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,284.602,0.31776,0.77273,1,0.612,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,299.953,0.29386,0.77273,1,0.62802,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,321.976,0.28552,0.77273,1,0.65426,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,344.119,0.26926,0.77273,1,0.64694,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,366.087,0.31075,0.77273,1,0.64519,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,388.104,0.27014,0.77273,1,0.65689,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,410.248,0.23097,0.77273,1,0.6837,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,432.245,0.27799,0.77273,1,0.65428,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,454.444,0.20325,0.77273,1,0.68866,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,476.604,0.24392,0.77273,1,0.6998,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,498.814,0.16347,0.77273,1,0.75601,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,520.973,0.17022,0.77273,1,0.76403,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,540.412,0.18505,0.77273,1,0.74224,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,553.74,0.19756,0.77273,1,0.74051,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,566.77,0.12579,0.77273,1,0.71198,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,581.388,0.30875,0.72727,1,0.72218,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
