epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.20796,0.78957,0.36364,1,0.90844,0.00010002,3.334e-05,0.00010002,3.334e-05,0.00010002,3.334e-05,0.00010002,3.334e-05
2,18.6591,0.74116,0.36364,1,0.8954,0.000247575,8.25248e-05,0.000247575,8.25248e-05,0.000247575,8.25248e-05,0.000247575,8.25248e-05
3,27.9289,0.77514,0.36364,1,0.87344,0.000392158,0.000130719,0.000392158,0.000130719,0.000392158,0.000130719,0.000392158,0.000130719
4,42.7946,0.77696,0.18182,1,0.8523,0.000533772,0.000177924,0.000533772,0.000177924,0.000533772,0.000177924,0.000533772,0.000177924
5,55.5831,0.71576,0.18182,1,0.82303,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138
6,71.0482,0.7263,0.18182,1,0.80909,0.000808087,0.000269362,0.000808087,0.000269362,0.000808087,0.000269362,0.000808087,0.000269362
7,86.4957,0.7002,0.09091,1,0.77689,0.000940788,0.000313596,0.000940788,0.000313596,0.000940788,0.000313596,0.000940788,0.000313596
8,97.2367,0.65191,0.18182,1,0.76626,0.00107052,0.00035684,0.00107052,0.00035684,0.00107052,0.00035684,0.00107052,0.00035684
9,109.166,0.66661,0.45455,1,0.73468,0.00119728,0.000399093,0.00119728,0.000399093,0.00119728,0.000399093,0.00119728,0.000399093
10,124.36,0.6679,0.36364,1,0.72213,0.00132107,0.000440356,0.00132107,0.000440356,0.00132107,0.000440356,0.00132107,0.000440356
11,139.662,0.65702,0.45455,1,0.68686,0.00144189,0.000480629,0.00144189,0.000480629,0.00144189,0.000480629,0.00144189,0.000480629
12,154.932,0.61324,0.54545,1,0.67051,0.00155974,0.000519912,0.00155974,0.000519912,0.00155974,0.000519912,0.00155974,0.000519912
13,170.25,0.58929,0.72727,1,0.64007,0.00167461,0.000558205,0.00167461,0.000558205,0.00167461,0.000558205,0.00167461,0.000558205
14,182.281,0.60552,0.72727,1,0.62713,0.00178652,0.000595507,0.00178652,0.000595507,0.00178652,0.000595507,0.00178652,0.000595507
15,197.629,0.55283,0.72727,1,0.60262,0.00189546,0.00063182,0.00189546,0.00063182,0.00189546,0.00063182,0.00189546,0.00063182
16,212.835,0.54483,0.72727,1,0.59163,0.00200143,0.000667142,0.00200143,0.000667142,0.00200143,0.000667142,0.00200143,0.000667142
17,228.097,0.54277,0.72727,1,0.57005,0.00210442,0.000701474,0.00210442,0.000701474,0.00210442,0.000701474,0.00210442,0.000701474
18,243.577,0.55525,0.63636,1,0.55748,0.00220445,0.000734815,0.00220445,0.000734815,0.00220445,0.000734815,0.00220445,0.000734815
19,255.446,0.50679,0.63636,1,0.54604,0.0023015,0.000767167,0.0023015,0.000767167,0.0023015,0.000767167,0.0023015,0.000767167
20,270.59,0.49209,0.72727,1,0.53107,0.00239558,0.000798528,0.00239558,0.000798528,0.00239558,0.000798528,0.00239558,0.000798528
21,285.838,0.51708,0.72727,1,0.52433,0.0024867,0.000828899,0.0024867,0.000828899,0.0024867,0.000828899,0.0024867,0.000828899
22,300.972,0.49939,0.72727,1,0.51976,0.00257484,0.00085828,0.00257484,0.00085828,0.00257484,0.00085828,0.00257484,0.00085828
23,311.983,0.46511,0.72727,1,0.51375,0.00266001,0.000886671,0.00266001,0.000886671,0.00266001,0.000886671,0.00266001,0.000886671
24,321.103,0.46198,0.72727,1,0.50664,0.00274221,0.000914071,0.00274221,0.000914071,0.00274221,0.000914071,0.00274221,0.000914071
25,334.104,0.45994,0.72727,1,0.50655,0.00282144,0.000940481,0.00282144,0.000940481,0.00282144,0.000940481,0.00282144,0.000940481
26,349.412,0.46171,0.72727,1,0.50583,0.0028977,0.000965901,0.0028977,0.000965901,0.0028977,0.000965901,0.0028977,0.000965901
27,364.584,0.41991,0.72727,1,0.50541,0.00297099,0.000990331,0.00297099,0.000990331,0.00297099,0.000990331,0.00297099,0.000990331
28,379.866,0.40629,0.72727,1,0.5003,0.00304131,0.00101377,0.00304131,0.00101377,0.00304131,0.00101377,0.00304131,0.00101377
